id,created_at,title,link,char7Id
35,2025-05-12 10:16:20.690723+00,01- المقدمة – أقسام التوحيد – شرح مقدمة ابن تيمية إلى .. قوله ( وسلم تسليماً مزيداً ),https://www.youtube.com/embed/KDpgxg0gea0,2
36,2025-05-12 10:16:20.690723+00,02- إعراب كلمة أما بعد – معنى الاعتقاد في اللغة والاصطلاح إلى ..المبحث السادس,https://www.youtube.com/embed/SVyPU8g2BXg,2
37,2025-05-12 10:16:20.690723+00,03- ليس كل كمال للمخلوق يكون كمالاً للخالق – قوله (وبما وصف به رسوله ) إلى .. التعبير بالتمثيل أ,https://www.youtube.com/embed/ERO8Y-QUkXg,2
38,2025-05-12 10:16:20.690723+00,04- تابع ..التعبير بالتمثيل أولى من التعبير بالتشبيه– أن نفي التشبيه على الأطلاق غير صحيح,https://www.youtube.com/embed/JumzE96OzV0,2
39,2025-05-12 10:16:20.690723+00,05- وجوب قبول ما دل عليه الخبر – الطريق لإثبات الصفات إلى .. تعريف الشهداء – تعريف الصالحين,https://www.youtube.com/embed/3ajuWa-Fg5g,2
40,2025-05-12 10:16:20.690723+00,06- قوله ( وقد دخل في هذه الجملة ما وصف الله به نفس إلى .. الرد على من خالف أهل السنة,https://www.youtube.com/embed/Egm8lFVh9qM,2
41,2025-05-12 10:16:20.690723+00,07- تابع ..الرد على من خالف أهل السنة في علو الله إلى .. مفاتح الغيب خمسة,https://www.youtube.com/embed/qLE0TFP_-t4,2
42,2025-05-12 10:16:20.690723+00,08- تابع .. مفاتح الغيب خمسة– الرزق قسمين – إلى .. آيات في إثبات صفتي المشيئة والإرادة,https://www.youtube.com/embed/kIH6zSzLDfQ,2
43,2025-05-12 10:16:20.690723+00,09- تابع ..آيات في إثبات صفتي المشيئة والإرادة– أقسام الإرادة  إلى .. الرد على من أنكر المحبة,https://www.youtube.com/embed/KGOGNNFz3Zk,2
44,2025-05-12 10:16:20.690723+00,10- آيات صفة الرحمة – الأدلة العقلية على ثبوت صفة الرحمة – إلى .. آيات صفة المجيء,https://www.youtube.com/embed/NhZYhUAHq6A,2
45,2025-05-12 10:16:20.690723+00,11- آيات صفة المجيء والإتيان الآية الرابعة إلى ..مخالفو أهل السنة والجماعة والرد عليهم,https://www.youtube.com/embed/S8YUxnT_eiM,2
46,2025-05-12 10:16:20.690723+00,12- آيات صفة العينين لله تعالى ( واصبر لحكم ربك ..) – إلى ..آيات صفة المكر والكيد والمحال,https://www.youtube.com/embed/Uy3x2_5qJ5g,2
47,2025-05-12 10:16:20.690723+00,13- آيات صفة العفو والمغفره والرحمة والعزة والقدرة – آيات الصفات المنفية في تنزيه الله,https://www.youtube.com/embed/DoRmBn9dza0,2
48,2025-05-12 10:16:20.690723+00,14- آيات الصفات المنفية في تنزيه الله الآية الثانية عشر(قل إنما حرم ربي..)– إثبات علو الله,https://www.youtube.com/embed/wAIEAcp2-to,2
49,2025-05-12 10:16:20.690723+00,15- إشكال العلماء حول (في) وجواب العلماء عليه – إثبات معية الله لخلقه وفيه مباحث,https://www.youtube.com/embed/pWODaFxldog,2
50,2025-05-12 10:16:20.690723+00,16- إثبات الكلام لله تعالى الآية الخامسة ( وكلم الله موسى)– إثبات أن القرآن كلام الله,https://www.youtube.com/embed/kolfbOrlRZY,2
51,2025-05-12 10:16:20.690723+00,17- إثبات رؤية المؤمنين لربهم يوم القيامة – مخالفو أهل السنة والجماعة وأدلتهم,https://www.youtube.com/embed/VuhN5wbxonE,2
